fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
175274,17109,NDB #,SR Legacy,"Veal, loin, separable lean only, cooked, roasted",0.0,208,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0
175274,17109,NDB #,SR Legacy,"Veal, loin, separable lean only, cooked, roasted",0.0,85,g,"3 oz",0.0
175264,17086,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",0.0,113,g,"4 oz",0.0
175264,17086,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",0.0,115,g,"1 serving",0.0
175267,17093,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable fat, cooked",0.0,85,g,"3 oz",0.0
175267,17093,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable fat, cooked",0.0,290,g,"1 unit, cooked (yield from 1 lb raw meat)",0.0
175269,17099,NDB #,SR Legacy,"Veal, leg (top round), separable lean only, raw",0.0,453.6000000000000227373675443232059478759765625,g,"1 lb",0.0
175269,17099,NDB #,SR Legacy,"Veal, leg (top round), separable lean only, raw",0.0,113,g,"4 oz",0.0
175268,17094,NDB #,SR Legacy,"Veal, leg (top round), separable lean and fat, raw",0.0,113,g,"4 oz",0.0
175268,17094,NDB #,SR Legacy,"Veal, leg (top round), separable lean and fat, raw",0.0,453.6000000000000227373675443232059478759765625,g,"1 lb",0.0
175266,17092,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable fat, raw",0.0,28.35000000000000142108547152020037174224853515625,g,"1 oz",0.0
175266,17092,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable fat, raw",0.0,453.6000000000000227373675443232059478759765625,g,"1 lb",0.0
175265,17091,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable lean only, cooked",0.0,192,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0
175265,17091,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable lean only, cooked",0.0,85,g,"3 oz",0.0
175262,17084,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",0.0,115,g,"1 serving",0.0
175262,17084,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",0.0,113,g,"4 oz",0.0
175261,17083,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",0.0,85,g,"3 oz",0.0
175261,17083,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",0.0,85,g,"1 serving",0.0
175259,17077,NDB #,SR Legacy,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",0.0,85,g,"3 oz",0.0
175259,17077,NDB #,SR Legacy,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",0.0,43,g,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 85 g)",0.0
175260,17082,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",0.0,113,g,"4 oz",0.0
175260,17082,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",0.0,115,g,"1 serving",0.0
175263,17085,NDB #,SR Legacy,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",0.0,206,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.0
175263,17085,NDB #,SR Legacy,"Lamb, New Zealand, imported, frozen, shoulder, whole (arm and blade), separable lean and fat, cooked, braised",0.0,85,g,"3 oz",0.0
175255,16381,NDB #,SR Legacy,"Mung beans, mature seeds, cooked, boiled, with salt",1.0,202,g,"1 cup",2.0
175257,16386,NDB #,SR Legacy,"Peas, split, mature seeds, cooked, boiled, with salt",0.4,196,g,"1 cup",0.8
175253,16368,NDB #,SR Legacy,"Hyacinth beans, mature seeds, cooked, boiled, with salt",0.0,194,g,"1 cup",0.0
