fdcId,identifier,identifierType,foodType,foodDescription,value,foodWeight,valueUnit,foodMeasure,measureValue
175274,17109,NDB #,SR Legacy,"Veal, loin, separable lean only, cooked, roasted",0.00,85,g,"3 oz",0.00
175268,17094,NDB #,SR Legacy,"Veal, leg (top round), separable lean and fat, raw",0.00,113,g,"4 oz",0.00
175268,17094,NDB #,SR Legacy,"Veal, leg (top round), separable lean and fat, raw",0.00,453.6000000000000227373675443232059478759765625,g,"1 lb",0.00
175264,17086,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",0.20,113,g,"4 oz",0.23
175264,17086,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean only, raw",0.20,115,g,"1 serving",0.23
175265,17091,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable lean only, cooked",0.00,192,g,"1 piece, cooked, excluding refuse (yield from 1 lb raw meat with refuse)",0.00
175265,17091,NDB #,SR Legacy,"Veal, composite of trimmed retail cuts, separable lean only, cooked",0.00,85,g,"3 oz",0.00
175258,16389,NDB #,SR Legacy,"Peanuts, all types, oil-roasted, without salt",0.00,144,g,"1 cup,",0.00
175258,16389,NDB #,SR Legacy,"Peanuts, all types, oil-roasted, without salt",0.00,28.35000000000000142108547152020037174224853515625,g,"1 oz shelled (32 nuts)",0.00
175259,17077,NDB #,SR Legacy,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",0.10,85,g,"3 oz",0.09
175259,17077,NDB #,SR Legacy,"Lamb, New Zealand, imported, frozen, loin, separable lean and fat, cooked, broiled",0.10,43,g,"1 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 85 g)",0.04
175260,17082,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",0.00,113,g,"4 oz",0.00
175260,17082,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, raw",0.00,115,g,"1 serving",0.00
175261,17083,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",0.00,85,g,"3 oz",0.00
175261,17083,NDB #,SR Legacy,"Lamb, New Zealand, imported, rack - partly frenched, separable lean only, cooked, fast roasted",0.00,85,g,"1 serving",0.00
175262,17084,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",0.20,115,g,"1 serving",0.23
175262,17084,NDB #,SR Legacy,"Lamb, New Zealand, imported, square-cut shoulder, separable lean and fat, raw",0.20,113,g,"4 oz",0.23
175254,16370,NDB #,SR Legacy,"Lentils, mature seeds, cooked, boiled, with salt",0.00,198,g,"1 cup",0.00
175255,16381,NDB #,SR Legacy,"Mung beans, mature seeds, cooked, boiled, with salt",0.00,202,g,"1 cup",0.00
175256,16384,NDB #,SR Legacy,"Mungo beans, mature seeds, cooked, boiled, with salt",0.00,180,g,"1 cup",0.00
175253,16368,NDB #,SR Legacy,"Hyacinth beans, mature seeds, cooked, boiled, with salt",0.00,194,g,"1 cup",0.00
175257,16386,NDB #,SR Legacy,"Peas, split, mature seeds, cooked, boiled, with salt",0.00,196,g,"1 cup",0.00
175252,16363,NDB #,SR Legacy,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",0.00,171,g,"1 cup",0.00
175246,16346,NDB #,SR Legacy,"Beans, small white, mature seeds, cooked, boiled, with salt",0.00,179,g,"1 cup",0.00
175247,16347,NDB #,SR Legacy,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.00,442,g,"1 can total can contents",0.00
175247,16347,NDB #,SR Legacy,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",0.00,240,g,"1 cup",0.00
175248,16348,NDB #,SR Legacy,"Beans, yellow, mature seeds, cooked, boiled, with salt",0.00,177,g,"1 cup",0.00
175251,16361,NDB #,SR Legacy,"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",0.00,171,g,"1 cup",0.00
175250,16360,NDB #,SR Legacy,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",0.00,240,g,"1 cup",0.00
175250,16360,NDB #,SR Legacy,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",0.00,448,g,"1 can total can contents",0.00
